red_mean,luma_mean
-214.0444,-65.4019
24.6668,-65.3858
-213.8665,-65.2794
25.1749,-65.0613
-212.9569,-64.6548
27.7833,-63.8198
-210.4035,-62.7675
29.1520,-62.4032
-210.3740,-62.4001
28.5553,-62.8568
-211.0883,-63.2948
27.6531,-63.8643
-212.0368,-64.3719
26.8635,-64.8576
-214.0058,-65.6669
25.0308,-66.5574
-215.6901,-67.1869
24.0246,-67.6827
-215.8939,-67.6233
23.8099,-67.6487
-215.7584,-67.5400
23.7949,-67.4690
-215.4937,-67.2403
24.0875,-67.0283
-215.1521,-66.7877
24.7695,-66.2587
-214.7532,-65.9933
24.9542,-65.8173
-214.1806,-65.4435
25.2630,-65.2121
-213.9969,-65.0646
25.3316,-65.0010
-217.2929,-67.1604
25.3112,-67.1228
-217.1298,-67.0016
25.4616,-66.8845
-216.2934,-66.2908
25.6753,-66.1375
-215.2502,-65.5052
25.8327,-65.3882
-214.1366,-64.8631
26.0233,-64.7315
-213.5608,-64.3232
26.0006,-64.2995
-212.9409,-63.8945
26.1713,-63.7810
-212.4242,-63.4638
26.4008,-63.3416
-211.1396,-62.5620
26.8311,-62.4628
-209.9211,-61.9144
26.7821,-61.9150
-209.7141,-61.7261
26.3573,-61.9351
-209.8956,-61.9702
26.3441,-61.9687
-209.9363,-61.9124
25.6312,-62.1983
-210.4183,-62.3126
25.4567,-62.3840
-210.6594,-62.4508
25.4088,-62.4843
-217.4197,-66.7310
25.1133,-66.8790
-216.7532,-66.5315
25.5663,-66.2244
-216.4927,-66.0532
26.0773,-65.7699
-215.9658,-65.4983
26.6932,-65.3379
-215.8508,-65.2717
26.7565,-65.2392
-215.8188,-65.2279
26.8469,-65.1995
-215.7465,-65.1590
26.8526,-65.1511
-215.6794,-65.1155
27.2589,-65.0265
-215.6411,-64.9736
27.2349,-64.9897
-215.5091,-64.9359
27.1082,-65.0242
-215.5519,-65.0150
27.1591,-64.9894
-215.4294,-64.9033
27.0910,-64.9882
-215.5608,-65.0594
27.0730,-65.0664
-215.5574,-65.0733
27.1235,-65.0710
-215.8120,-65.2530
26.9770,-65.3470
-215.8376,-65.3567
26.6864,-65.5599
-216.6082,-65.9788
26.4043,-66.1355
-216.7543,-66.1973
26.2527,-66.2740
-216.7572,-66.2416
26.2027,-66.2523
-216.6305,-66.1884
25.9464,-66.1831
-216.6180,-66.1295
25.9238,-66.1349
-216.8851,-66.2285
25.4480,-66.4294
-216.8463,-66.3725
25.5939,-66.2906
-216.6790,-66.1899
25.9400,-66.0061
-216.5291,-65.9001
26.1298,-65.8080
-216.4950,-65.7901
26.2090,-65.8513
-216.8644,-66.0510
26.2368,-66.0564
-216.8431,-66.0664
26.3665,-66.0327
-216.8050,-66.0609
26.5365,-66.0220
-216.5772,-65.9631
26.7535,-65.9038
-216.5421,-65.9492
26.5758,-66.1170
-216.4718,-66.1257
26.7056,-66.3755
-216.9118,-66.5580
26.7011,-66.5457
-216.9556,-66.5495
26.7580,-66.5220
-216.9760,-66.4929
26.9151,-66.3887
-216.5907,-66.1420
27.4527,-65.9055
-216.3372,-65.7582
27.9843,-65.5020
-215.8411,-65.3102
28.6064,-65.1599
-216.0314,-65.2538
28.6295,-65.2380
-216.0556,-65.2421
28.3312,-65.4920
-216.4243,-65.7073
28.2804,-65.7360
-216.4703,-65.7609
28.2476,-65.7906
-217.1042,-66.1578
27.8010,-66.4733
-217.2236,-66.5595
27.8256,-66.6032
-217.2958,-66.6429
27.8370,-66.6324
-217.2869,-66.6265
27.9257,-66.6016
-217.3579,-66.6480
27.9726,-66.6386
-217.3196,-66.6414
28.0448,-66.6280
-217.4155,-66.7137
27.9574,-66.7712
-217.4552,-66.7956
27.9973,-66.8011
-217.6082,-66.8925
27.9589,-66.9203
-217.6276,-66.9553
27.8890,-67.2658
-217.7520,-67.2978
27.9001,-67.3064
-217.7542,-67.3084
27.9857,-67.4571
-217.9580,-67.5581
27.9918,-67.5567
-217.9461,-67.5713
28.0810,-67.5629
-217.9467,-67.5702
28.1510,-67.5560
-217.8353,-67.5237
28.3846,-67.4370
-217.6642,-67.3795
28.5739,-67.3218
-217.5611,-67.2898
28.6915,-67.2332
-217.5544,-67.2864
28.7274,-67.2951
-217.5447,-67.2932
28.7487,-67.2969
-217.5707,-67.3264
28.6117,-67.3971
-217.5613,-67.3974
28.5856,-67.6665
-217.7731,-67.7727
28.5807,-67.7866
-217.7851,-67.8060
28.6583,-67.7606
-217.7796,-67.7549
28.6412,-67.7633
-217.7268,-67.7364
28.9543,-67.6927
-217.7083,-67.6853
29.0094,-67.6618
-217.6672,-67.6398
29.0823,-67.6142
-217.6901,-67.6442
29.0774,-67.6469
-217.6708,-67.6467
29.1594,-67.6308
-217.7801,-67.7001
29.2280,-67.6980
-217.7774,-67.7036
29.3069,-67.6918
-217.9009,-67.7933
29.2986,-67.8169
-217.8888,-67.8233
29.3593,-67.8271
-217.8628,-67.8255
29.3422,-67.8398
-217.7934,-67.8376
29.4960,-68.0699
-217.8202,-68.0770
29.3924,-68.1293
-217.7239,-68.1087
29.3740,-68.3461
-217.7044,-68.3238
29.3560,-68.3344
-217.5962,-68.2742
29.3089,-68.3958
-217.8165,-68.4990
29.3154,-68.5050
-217.8309,-68.5081
29.3544,-68.4924
-217.9597,-68.5296
29.3696,-68.5219
-217.9428,-68.5032
29.4173,-68.4913
-217.9909,-68.5086
29.4402,-68.5007
-217.9836,-68.5030
29.4736,-68.4891
-217.9748,-68.4839
29.5193,-68.4774
-217.9211,-68.4730
29.5993,-68.4512
-217.7376,-68.3935
29.6307,-68.3835
-217.5237,-68.3003
30.0820,-68.4006
-217.5593,-68.4081
30.1092,-68.4019
-217.6356,-68.4586
29.8561,-68.8021
-217.6837,-68.8229
29.8073,-68.8515
-217.6151,-68.8339
29.8610,-68.9324
-217.9305,-69.1061
29.8682,-69.1170
-217.9541,-69.1333
29.9560,-69.1481
-218.0884,-69.2505
29.9534,-69.2611
-218.0293,-69.2586
30.0223,-69.2581
-218.0924,-69.3348
30.0472,-69.3374
-218.0508,-69.3547
30.1259,-69.3547
-218.2097,-69.4649
30.1385,-69.4880
-218.2353,-69.5140
30.1776,-69.5522
-218.6414,-69.7972
30.1622,-69.8330
-218.6746,-69.8405
30.2368,-69.8432
-218.7119,-69.8923
30.0212,-70.0229
-218.6767,-70.0224
30.1371,-70.1359
-218.6723,-70.0856
30.1158,-70.0879
-218.4810,-70.0144
30.1764,-70.0875
-218.7531,-70.2294
30.1337,-70.2533
-218.8042,-70.2766
30.1264,-70.2983
-219.0013,-70.3876
30.0844,-70.4204
-218.9949,-70.4178
30.1426,-70.3955
-219.0863,-70.4298
30.1301,-70.4363
-219.0821,-70.4308
30.2207,-70.3969
-219.2348,-70.4563
30.2285,-70.4537
-219.2496,-70.4493
30.3060,-70.4132
-219.2256,-70.3950
30.3542,-70.3682
-219.1425,-70.3280
30.4506,-70.2830
-219.1018,-70.2762
30.4971,-70.2594
-219.1042,-70.2565
30.6213,-70.2096
-219.1030,-70.2104
30.5882,-70.2303
-219.0930,-70.2283
30.4484,-70.4362
-219.2455,-70.5182
30.4475,-70.5150
-219.2488,-70.5146
30.4764,-70.5088
-219.4528,-70.6018
30.5098,-70.5833
-219.4162,-70.5624
30.6350,-70.4921
-219.4278,-70.5005
30.6809,-70.4708
-219.4092,-70.4574
30.7378,-70.4311
-219.5013,-70.5012
30.7206,-70.5118
-219.5157,-70.5240
30.7442,-70.5242
-219.6636,-70.6231
30.7395,-70.6344
-219.6749,-70.6421
30.7600,-70.6367
-219.6671,-70.6568
30.7104,-70.6996
-219.5952,-70.6712
31.0767,-70.5427
-219.7074,-70.5879
31.1079,-70.5758
-219.6659,-70.5605
31.0353,-70.6770
-219.7703,-70.6784
31.0498,-70.6803
-219.7431,-70.6690
31.1329,-70.6216
-219.8593,-70.6747
31.1083,-70.6906
-219.8741,-70.6999
31.1175,-70.6984
-219.9739,-70.7713
31.1034,-70.7782
-219.9757,-70.7779
31.1298,-70.7800
-219.9784,-70.7772
31.1688,-70.7584
-219.9613,-70.7553
31.2161,-70.7440
-220.0171,-70.7763
31.2115,-70.7793
-220.0528,-70.7939
31.2814,-70.7823
-220.1387,-70.8215
31.3041,-70.8186
-220.0468,-70.8475
31.2459,-70.8621
-219.9863,-70.8306
31.2367,-70.8328
-219.9010,-70.8021
31.1532,-70.8542
-219.8862,-70.8573
31.1345,-70.8722
-219.8611,-70.8688
31.0636,-71.0060
-219.9901,-71.0551
31.0663,-71.0537
-219.9734,-71.0565
31.0984,-71.0446
-219.9759,-71.0519
31.0990,-71.0505
-219.9755,-71.0503
31.1406,-71.0328
-220.1607,-71.1342
31.1287,-71.1411
-220.1729,-71.1504
31.1598,-71.1464
-220.2236,-71.1790
31.2188,-71.1616
-220.2203,-71.1539
31.2900,-71.1258
-220.2394,-71.1396
31.3112,-71.1310
-220.2248,-71.1268
31.3782,-71.1027
-220.2190,-71.1066
31.4125,-71.0866
-220.2037,-71.0841
31.5057,-71.0474
-220.1593,-71.0278
31.4806,-71.0361
-220.1157,-71.0175
31.4522,-71.0973
-220.2110,-71.1185
31.4711,-71.1110
-220.2036,-71.0912
31.4840,-71.1050
-220.3327,-71.1749
31.4974,-71.1731
-220.3326,-71.1754
31.5157,-71.1710
-220.3953,-71.2083
31.5584,-71.2030
-220.4076,-71.2088
31.5692,-71.2104
-220.4608,-71.2429
31.5785,-71.2434
-220.4482,-71.2412
31.6221,-71.2365
-220.4692,-71.2479
31.6251,-71.2493
-220.4699,-71.2499
31.6653,-71.2422
-220.4778,-71.2497
31.6753,-71.2477
-220.4804,-71.2463
31.6913,-71.2437
-220.4867,-71.2515
31.6344,-71.2838
-220.4653,-71.2821
31.6202,-71.4245
-220.4761,-71.4057
31.6699,-71.3906
-220.4039,-71.3346
31.7582,-71.2923
-220.3996,-71.2678
31.8519,-71.2141
-220.3710,-71.2066
31.9676,-71.1599
-220.4773,-71.2121
31.9565,-71.2219
-220.4892,-71.2258
31.9817,-71.2213
-220.7444,-71.3683
31.9631,-71.3890
-220.7506,-71.3939
31.9968,-71.3943
-220.9130,-71.4853
31.9787,-71.5005
-220.9258,-71.5033
32.0108,-71.4962
-220.9069,-71.4865
31.9873,-71.4945
-220.8968,-71.4909
32.1420,-71.5402
-220.9100,-71.5172
32.0396,-71.5622
-220.7803,-71.5196
31.9076,-71.6238
-220.7594,-71.5891
31.9556,-71.5627
-220.7505,-71.5509
31.9704,-71.5300
-220.7865,-71.5394
31.9862,-71.5404
-220.7822,-71.5361
32.0264,-71.5150
-220.8127,-71.5293
32.0305,-71.5320
-220.8158,-71.5349
32.0539,-71.5249
-220.8544,-71.5444
32.0724,-71.5410
-220.8396,-71.5329
32.1109,-71.5236
-220.9579,-71.5840
32.1027,-71.6003
-220.9549,-71.6008
32.1166,-71.6035
-220.9679,-71.6223
32.1048,-71.6301
-220.9147,-71.6141
32.2336,-71.6610
-220.9903,-71.6703
32.3014,-71.6566
-220.8925,-71.5958
32.1876,-71.6361
-220.8776,-71.6179
32.1804,-71.6193
-220.7971,-71.5750
32.0267,-71.6658
-220.7818,-71.6625
32.0186,-71.6678
-220.7354,-71.6520
31.9910,-71.6728
-220.7165,-71.6641
32.0051,-71.6636
-220.6816,-71.6501
31.9925,-71.6576
-220.6723,-71.6533
31.9849,-71.6551
-220.6458,-71.6486
31.9620,-71.6620
-220.6361,-71.6593
31.9490,-71.6617
-220.6203,-71.6554
31.9096,-71.6729
-220.5982,-71.6662
31.8921,-71.6762
-220.5641,-71.6655
31.9367,-71.6383
-220.5629,-71.6302
31.9915,-71.6018
-220.5670,-71.6029
31.9910,-71.6885
-220.6375,-71.6887
32.0116,-71.6878
-220.6189,-71.6824
32.0620,-71.6450
-220.6868,-71.6663
32.0748,-71.6603
-220.6768,-71.6557
32.1050,-71.6464
-220.8856,-71.7618
32.0799,-71.7702
-220.9247,-71.7914
32.0987,-71.7876
-221.0439,-71.8485
32.1095,-71.8481
-221.0433,-71.8433
32.1571,-71.8201
-221.0636,-71.8177
32.1785,-71.8081
-221.0697,-71.8098
32.2224,-71.7930
-221.1700,-71.8375
32.2303,-71.8368
-221.1641,-71.8310
32.3200,-71.7840
-221.1365,-71.7683
32.3070,-71.7751
-221.0846,-71.7469
32.3378,-71.7600
