red_mean,luma_mean
-221.1354,-59.9489
29.1834,-59.9229
-226.0460,-61.5759
28.5080,-61.7837
-225.0637,-61.4679
28.8745,-61.3462
-225.5575,-61.5173
28.9716,-61.4705
-225.2335,-61.3495
29.5331,-61.1518
-222.2433,-60.1938
29.8497,-60.0883
-222.4931,-60.1719
29.6225,-60.2578
-222.6387,-60.2960
29.4502,-60.3573
-222.9838,-60.4665
29.5085,-60.4518
-223.1053,-60.4856
30.0978,-60.2922
-222.4080,-60.0724
30.1715,-60.0766
-223.5527,-60.4271
29.8083,-60.5507
-223.8810,-60.6766
29.8312,-60.6613
-223.8710,-60.6423
29.7581,-60.6780
-223.8238,-60.6582
29.9543,-60.5935
-223.3240,-60.4303
29.5513,-60.5643
-223.3044,-60.5587
29.3492,-60.6284
-223.2086,-60.5886
28.6371,-60.8397
-223.1745,-60.8102
27.8820,-61.0615
-223.3820,-61.1249
27.0656,-61.3703
-223.2348,-61.2902
27.1994,-61.2622
-222.2510,-60.9403
27.0198,-61.0093
-222.1741,-60.9767
26.9157,-61.0221
-221.6879,-60.8643
26.9347,-60.8590
-221.1243,-60.6624
26.6973,-60.7535
-221.1272,-60.7466
26.4405,-60.8376
-221.0443,-60.8106
26.3126,-60.8536
-221.0230,-60.8302
26.0853,-60.9137
-221.3292,-61.0248
25.7477,-61.1384
-221.3197,-61.1126
25.2922,-61.2631
-221.2740,-61.2458
24.5524,-61.4673
-220.4932,-61.2007
24.7980,-61.1338
-220.4481,-61.1319
25.0126,-61.0563
-220.1142,-60.9436
24.9908,-60.9677
-219.8817,-60.8882
24.6398,-61.0016
-219.7832,-60.9604
25.9554,-60.5441
-220.3043,-60.7365
25.9491,-60.7398
-220.3612,-60.7591
25.7268,-60.8377
-220.4373,-60.8623
25.8578,-60.8106
-220.9197,-60.9858
25.8709,-60.9772
-221.0629,-61.0230
25.5692,-61.1086
-221.0978,-61.1326
25.6484,-61.1043
-220.8833,-61.0291
25.8321,-60.9632
-218.8432,-60.3050
25.8636,-60.2948
-219.0471,-60.3625
25.7074,-60.4148
-219.5897,-60.6069
25.6870,-60.6121
-219.6829,-60.6402
25.7127,-60.6191
-219.7878,-60.6668
25.5729,-60.7099
-219.8121,-60.7184
26.1135,-60.5237
-219.9741,-60.5815
26.0415,-60.6063
