red_mean,luma_mean
-215.7139,-58.5997
25.9151,-58.4611
-215.5426,-58.4072
25.7761,-58.4543
-215.6131,-58.4753
25.2587,-58.6530
-215.5784,-58.6286
18.0940,-60.9886
-216.0408,-61.1334
18.7915,-60.8953
-214.8523,-60.5055
20.7788,-59.8710
-212.3285,-59.0214
22.7726,-58.3891
-210.8377,-57.9032
22.3390,-58.0486
-212.0041,-58.4391
20.1723,-59.1220
-213.9152,-59.7708
19.8775,-59.8626
-214.0076,-59.8948
19.8646,-59.8991
-213.9341,-59.8519
19.7212,-59.8916
-213.8769,-59.8680
19.7013,-59.8734
-213.8375,-59.8471
19.6613,-59.8684
-213.8001,-59.8576
19.6996,-59.8423
-212.9829,-59.5490
19.6637,-59.5626
-213.0149,-59.5713
19.7382,-59.5390
-211.4799,-59.0477
21.9008,-58.3639
-211.2365,-58.2992
21.6918,-58.3628
-212.6517,-58.8289
20.1886,-59.3211
-213.9556,-59.7371
20.0551,-59.7837
-213.9601,-59.7869
20.0561,-59.7839
-213.8384,-59.7307
20.1775,-59.6903
-213.7240,-59.6483
20.1524,-59.6545
-213.6230,-59.6066
20.0433,-59.6546
-213.4033,-59.5777
20.0360,-59.5735
-213.0786,-59.4617
20.2611,-59.3996
-213.0330,-59.4070
21.6365,-58.9624
-209.5663,-57.8542
22.1637,-57.7053
-209.6745,-57.7527
20.4999,-58.3007
-211.8140,-59.0049
17.9452,-59.8193
-213.0445,-60.2045
17.9369,-60.2140
-212.9040,-60.1626
18.5511,-59.9460
-212.2493,-59.7329
18.4528,-59.7705
-212.1970,-59.7513
18.4508,-59.7536
-211.8465,-59.6238
18.2913,-59.6702
-211.7947,-59.6543
18.3038,-59.6477
-211.5639,-59.5588
19.0741,-59.3093
-208.8509,-58.4520
23.3160,-57.1134
-209.0416,-57.1924
21.9842,-57.6208
-211.6068,-58.4663
20.1075,-59.0819
-214.0181,-59.8569
19.4159,-60.0900
-213.9495,-60.0542
19.7779,-59.9341
-213.4969,-59.7565
19.7360,-59.7726
-213.3661,-59.7237
19.7370,-59.7219
-213.2630,-59.6728
19.5885,-59.7253
-213.2255,-59.7132
19.5774,-59.7160
-213.1036,-59.6620
20.0231,-59.5139
-212.4666,-59.3060
24.4474,-57.9119
-209.4463,-56.9876
24.2955,-57.0405
-211.3034,-57.6520
22.9387,-58.0968
-213.6330,-58.8723
20.6265,-59.6238
-216.7212,-60.5773
19.1176,-61.0574
-216.7763,-61.0791
19.1774,-61.0516
-215.1897,-60.5020
19.9939,-60.2355
-214.9298,-60.1751
20.6817,-59.9401
-214.5872,-59.8251
21.1671,-59.6531
-214.5449,-59.6438
21.1832,-59.6415
-214.4645,-59.6112
21.4852,-59.4904
-213.8539,-59.3000
25.9459,-57.8916
-212.7528,-57.5798
24.7357,-57.9634
-214.7376,-58.6072
22.6247,-59.2940
-216.9349,-60.0076
20.6776,-60.6188
-217.0073,-60.6536
20.9277,-60.5593
-216.6730,-60.4453
21.8202,-60.1401
-216.5335,-60.0978
22.0925,-59.9940
-216.1211,-59.8469
22.0908,-59.8472
-216.2119,-59.8725
22.0059,-59.9051
-216.2603,-59.9190
22.0437,-59.8872
-216.2324,-59.8973
22.9388,-59.5892
-214.3066,-58.9841
24.4448,-58.5015
-214.5531,-58.5756
23.7194,-58.8262
-215.4013,-59.1052
22.5469,-59.4974
-216.6240,-59.8721
22.2866,-59.9543
-216.5589,-59.9254
22.0883,-59.9954
-216.4258,-59.9508
22.1317,-59.9344
-216.1590,-59.8368
22.0707,-59.8542
-215.9900,-59.7930
21.9116,-59.8480
-215.9005,-59.8039
21.8903,-59.8236
-215.7074,-59.7654
21.9158,-59.7622
-214.3529,-59.2876
24.2336,-58.5812
-213.3562,-58.2786
23.8577,-58.4179
-213.4752,-58.4600
22.2049,-58.9933
-214.6527,-59.3590
