red_mean,luma_mean
-200.9336,-59.4766
13.4498,-59.2074
-200.8537,-59.1847
13.9407,-58.9794
-200.5923,-58.9043
14.2153,-58.8178
-200.4789,-58.7742
14.4642,-58.7026
-200.4484,-58.6959
14.4621,-58.6997
-200.4041,-58.6885
14.6330,-58.6181
-200.5874,-58.6901
14.6203,-58.6935
-200.6347,-58.7075
14.7711,-58.6367
-200.5929,-58.6261
14.7800,-58.6289
-200.4234,-58.5613
15.0338,-58.4763
-200.0866,-58.3991
15.3075,-58.3314
-200.0011,-58.3059
15.1300,-58.3436
-200.3290,-58.4496
14.4914,-58.6779
-200.4723,-58.7245
14.3916,-58.7326
-200.4784,-58.7489
14.4655,-58.7147
-200.2659,-58.6410
14.8443,-58.5091
-200.4114,-58.5661
14.9716,-58.5139
-200.4604,-58.5356
15.1082,-58.4715
-200.5498,-58.5109
15.1580,-58.4924
-200.5898,-58.5088
15.2349,-58.4659
-200.6352,-58.4933
15.2798,-58.4701
-200.6449,-58.4761
15.3973,-58.4177
-200.6580,-58.4536
15.7463,-58.3211
-200.7093,-58.3544
15.9585,-58.2644
-201.1649,-58.4368
15.7710,-58.4859
-201.6426,-58.6572
15.7664,-58.6238
-201.7607,-58.6872
15.8554,-58.6511
-201.7036,-58.6336
15.9019,-58.6183
-201.6793,-58.6096
15.8712,-58.6201
-201.6997,-58.6263
15.8540,-58.6275
-201.7494,-58.6562
15.9451,-58.6088
-201.7676,-58.6210
16.1363,-58.5344
-201.8491,-58.5785
16.2387,-58.5404
-201.8766,-58.5560
16.5067,-58.4465
-201.8469,-58.4850
17.2137,-58.2436
-201.8659,-58.2512
17.2916,-58.1991
-202.5241,-58.4168
17.1845,-58.4635
-202.5368,-58.4696
17.2658,-58.4377
-202.5368,-58.4347
17.1846,-58.4666
-202.5846,-58.4835
17.1844,-58.4799
-202.4926,-58.4399
17.0058,-58.5026
-202.6030,-58.5512
16.9944,-58.5439
-202.7250,-58.5770
17.0569,-58.5715
-202.7412,-58.5793
17.1460,-58.5451
-202.6183,-58.4977
17.3037,-58.4566
-202.5854,-58.4497
17.4400,-58.4052
-202.4038,-58.3078
17.3547,-58.3690
-202.3320,-58.3382
17.3883,-58.3245
-201.9470,-58.1927
16.9087,-58.3721
-202.2678,-58.4797
16.7336,-58.5478
-202.2875,-58.5102
16.7109,-58.5390
-202.1925,-58.5021
16.6852,-58.5161
-201.9855,-58.4379
16.5717,-58.4747
-201.9803,-58.4720
16.4887,-58.5004
-201.9102,-58.4574
16.3910,-58.5117
-201.8491,-58.4890
16.4339,-58.4717
-201.5648,-58.3615
16.3352,-58.4111
-201.4652,-58.3736
16.3206,-58.3803
-201.3241,-58.3253
16.2833,-58.3777
-201.2529,-58.3450
16.3709,-58.3072
-200.6920,-58.1111
16.3849,-58.1186
-200.7299,-58.1233
15.9143,-58.2815
-201.3747,-58.5187
15.5137,-58.6558
-201.5261,-58.6722
15.4948,-58.7076
-201.4727,-58.6827
15.9373,-58.5235
-201.4865,-58.5263
15.8822,-58.5438
-201.5774,-58.5783
15.8623,-58.5800
-201.5030,-58.5486
15.7821,-58.5780
-201.5722,-58.6073
15.8127,-58.5816
-201.5682,-58.5856
15.8163,-58.5874
-201.5823,-58.5948
15.9397,-58.5525
-201.4802,-58.5144
16.4607,-58.3534
-201.2068,-58.2838
16.6325,-58.2199
-201.2764,-58.2570
16.0498,-58.4354
-201.8632,-58.6686
15.9036,-58.6965
-201.8800,-58.6756
15.9356,-58.6664
-201.9140,-58.6840
15.9380,-58.6693
-202.0338,-58.7143
15.9674,-58.7041
-202.0220,-58.6940
15.9887,-58.6867
-201.9914,-58.6913
15.9804,-58.7030
-201.8878,-58.6602
16.1499,-58.5916
-201.9515,-58.6104
16.1205,-58.6213
-201.9408,-58.6140
16.1391,-58.6051
-201.9397,-58.6093
16.2151,-58.5693
-201.0657,-58.2753
16.2624,-58.2589
-200.7413,-58.1643
16.1044,-58.2264
-201.1697,-58.3818
15.4513,-58.6117
-201.5850,-58.7555
15.3377,-58.7812
-201.7319,-58.8361
15.3456,-58.8381
-201.7240,-58.8348
15.3443,-58.8171
-201.7686,-58.8443
15.3998,-58.8228
-201.7498,-58.8146
15.6664,-58.6986
-201.7812,-58.7347
15.7534,-58.6977
-201.7538,-58.6918
16.4657,-58.4290
-201.9420,-58.5002
16.5102,-58.4836
-202.0153,-58.5118
16.6352,-58.4571
-202.0439,-58.5069
16.9244,-58.3950
-201.8659,-58.3490
17.7815,-58.0338
-202.7598,-58.3492
17.5740,-58.4211
-203.2131,-58.5866
17.5659,-58.5425
-203.5108,-58.6488
17.5750,-58.6432
-203.5381,-58.6548
17.6688,-58.6094
-203.6434,-58.6571
17.7186,-58.6390
-203.6417,-58.6406
17.9151,-58.5716
-203.7436,-58.6142
17.9479,-58.5948
-203.7597,-58.6049
18.0623,-58.5575
-203.7627,-58.5632
18.0412,-58.5691
-203.7424,-58.5673
18.0038,-58.5744
-203.7365,-58.6115
18.0235,-58.6112
-203.4383,-58.4942
18.5950,-58.3048
-203.3072,-58.2810
18.6139,-58.2593
-203.8119,-58.4397
18.2588,-58.5537
-204.0771,-58.6470
18.2395,-58.6314
-204.2767,-58.7049
18.2236,-58.7078
-204.2768,-58.7106
18.2762,-58.6808
-204.3234,-58.7046
18.2632,-58.7086
-204.3618,-58.7160
18.2504,-58.7175
-204.3759,-58.7174
18.2361,-58.7348
-204.3491,-58.7211
18.2836,-58.6949
-204.2797,-58.6938
18.2799,-58.7059
-204.1632,-58.6647
18.9809,-58.4092
-203.9449,-58.3643
19.3683,-58.2344
-204.0980,-58.2968
19.4695,-58.2490
-204.7825,-58.4864
19.0233,-58.6216
-205.0519,-58.7183
18.9648,-58.7382
-205.0237,-58.7015
19.0134,-58.6925
-205.0340,-58.6977
19.0025,-58.6917
-205.0088,-58.6862
18.8241,-58.7392
-205.1987,-58.8056
18.7733,-58.8266
-205.1654,-58.7930
18.8702,-58.7675
-205.0942,-58.7568
19.1495,-58.6596
-204.9299,-58.5985
19.3593,-58.5616
-204.9168,-58.5602
19.8956,-58.3712
-204.7904,-58.3318
20.0927,-58.2602
-205.0251,-58.3560
19.9568,-58.3854
-205.3668,-58.5098
19.5671,-58.6450
-205.3948,-58.6570
19.5353,-58.6667
-205.3165,-58.6090
19.2527,-58.7169
-205.3401,-58.7274
19.0977,-58.7832
-205.2961,-58.7499
19.0778,-58.7650
-205.2001,-58.7195
19.0577,-58.7301
-205.0779,-58.6808
18.9197,-58.7413
-205.0340,-58.7185
18.8908,-58.7234
-204.6990,-58.5914
18.8308,-58.6378
-204.5209,-58.5695
19.0305,-58.5128
-203.8650,-58.2612
18.9091,-58.3201
-203.8891,-58.3102
18.6302,-58.4244
-203.9091,-58.4093
18.0743,-58.6020
-203.9539,-58.6170
18.0150,-58.6398
-203.9130,-58.5879
17.9942,-58.6123
-203.8654,-58.5930
17.9956,-58.5892
-203.7446,-58.5518
17.9864,-58.5663
-203.7635,-58.5745
18.0158,-58.5576
-203.7223,-58.5497
17.9845,-58.5587
-203.7447,-58.5685
18.0058,-58.5595
-203.6839,-58.5399
18.0482,-58.5508
-203.7440,-58.5742
18.2659,-58.4801
-203.4241,-58.3789
18.3041,-58.3629
-203.6726,-58.4559
18.3160,-58.4527
-203.7289,-58.4675
17.9878,-58.5836
-203.8909,-58.6511
17.9653,-58.6536
-203.9003,-58.6358
17.9647,-58.6366
-203.9832,-58.6730
18.0660,-58.6354
-204.0126,-58.6449
17.9966,-58.6712
-204.1161,-58.7074
18.0101,-58.6927
-204.1173,-58.6898
18.0526,-58.6695
-204.1071,-58.6741
18.1511,-58.6377
-204.0915,-58.6355
18.3263,-58.5532
-203.9478,-58.5397
18.8651,-58.3697
-204.0433,-58.3987
18.6931,-58.4625
-204.1755,-58.5073
18.6763,-58.4940
-204.6959,-58.6757
18.5573,-58.7222
-204.7323,-58.7305
