luma_mean,luma_mean>rolling_average,luma_mean>rolling_average>subtract,luma_mean>rolling_average>subtract>butter_lowpass_filter,luma_mean>rolling_average>subtract>butter_lowpass_filter>cut_start
-65.40190000,-65.43999677,0.03809677,0.00413150,
-65.38580000,-65.43999677,0.05419677,0.01776494,
-65.27940000,-65.43999677,0.16059677,0.04760232,
-65.06130000,-65.43999677,0.37869677,0.11801297,
-64.65480000,-65.43999677,0.78519677,0.27342839,
-63.81980000,-65.43999677,1.62019677,0.59024158,
-62.76750000,-65.43999677,2.67249677,1.15913926,
-62.40320000,-65.43999677,3.03679677,1.91796794,
-62.40010000,-65.43999677,3.03989677,2.60017475,
-62.85680000,-65.43999677,2.58319677,2.95326505,
-63.29480000,-65.43999677,2.14519677,2.90459359,
-63.86430000,-65.43999677,1.57569677,2.54577443,
-64.37190000,-65.43999677,1.06809677,2.02006315,
-64.85760000,-65.43999677,0.58239677,1.44595693,
-65.66690000,-65.43999677,-0.22690323,0.85767809,
-66.55740000,-65.43999677,-1.11740323,0.19540165,
-67.18690000,-65.42706452,-1.75983548,-0.55318531,
-67.68270000,-65.48430968,-2.19839032,-1.28736356,
-67.62330000,-65.54377419,-2.07952581,-1.85048071,
-67.64870000,-65.60636452,-2.04233548,-2.13385892,
-67.54000000,-65.67829032,-1.86170968,-2.16674952,
-67.46900000,-65.75800000,-1.71100000,-2.04790165,
-67.24030000,-65.86670968,-1.37359032,-1.84454116,
-67.02830000,-65.96677419,-1.06152581,-1.57973874,
-66.78770000,-66.06316452,-0.72453548,-1.26987059,
-66.25870000,-66.12788387,-0.13081613,-0.90908050,
-65.99330000,-66.17422903,0.18092903,-0.48982926,
-65.81730000,-66.18903226,0.37173226,-0.08156457,
-65.44350000,-66.18669677,0.74319677,0.26165817,
-65.21210000,-66.15562903,0.94352903,0.55874883,
-65.06460000,-66.09479355,1.03019355,0.80574870,
-65.00100000,-65.99500000,0.99400000,0.96661881,
-67.16040000,-65.87095806,-1.28944194,0.78482848,
-67.12280000,-65.70577419,-1.41702581,0.06228073,
-67.00160000,-65.53930645,-1.46229355,-0.79525630,
-66.88450000,-65.35432903,-1.53017097,-1.35380798,
-66.29080000,-65.17287742,-1.11792258,-1.55198733,
-66.13750000,-64.98762258,-1.14987742,-1.47351294,
-65.50520000,-64.81648710,-0.68871290,-1.25523536,
-65.38820000,-64.65332258,-0.73487742,-0.99660475,
-64.86310000,-64.49787097,-0.36522903,-0.75752653,
-64.73150000,-64.35766774,-0.37383226,-0.55400455,
-64.32320000,-64.23524839,-0.08795161,-0.38060401,
-64.29950000,-64.12219355,-0.17730645,-0.24040968,
-63.89450000,-64.02350000,0.12900000,-0.12651879,
-63.78100000,-63.93442581,0.15342581,-0.01081965,
-63.46380000,-63.85119032,0.38739032,0.11914170,
-63.34160000,-63.90699677,0.56539677,0.26986253,
-62.56200000,-63.89791935,1.33591935,0.50920239,
-62.46280000,-63.87884516,1.41604516,0.86740113,
-61.91440000,-63.85377419,1.93937419,1.26488298,
-61.91500000,-63.82695806,1.91195806,1.62138432,
-61.72610000,-63.81015484,2.08405484,1.87996234,
-61.93510000,-63.78953548,1.85443548,2.00536387,
-61.97020000,-63.78413871,1.81393871,1.99940999,
-61.96870000,-63.78038065,1.81168065,1.92124932,
-61.91240000,-63.79251290,1.88011290,1.85707305,
-62.19830000,-63.80852581,1.61022581,1.81041494,
-62.31260000,-63.83679355,1.52419355,1.72900004,
-62.38400000,-63.86451935,1.48051935,1.61942576,
