luma_mean,luma_mean>rolling_average,luma_mean>rolling_average>subtract,luma_mean>rolling_average>subtract>butter_lowpass_filter,luma_mean>rolling_average>subtract>butter_lowpass_filter>cut_start
-59.94890000,-60.64718710,0.69828710,0.07572745,
-59.92290000,-60.64718710,0.72428710,0.29643544,
-61.57590000,-60.64718710,-0.92871290,0.36860337,
-61.78370000,-60.64718710,-1.13651290,-0.01498232,
-61.46790000,-60.64718710,-0.82071290,-0.56402603,
-61.34620000,-60.64718710,-0.69901290,-0.86720956,
-61.51730000,-60.64718710,-0.87011290,-0.92030937,
-61.47050000,-60.64718710,-0.82331290,-0.89142121,
-61.34950000,-60.64718710,-0.70231290,-0.84484376,
-61.15180000,-60.64718710,-0.50461290,-0.76020902,
-60.19380000,-60.64718710,0.45338710,-0.54055494,
-60.08830000,-60.64718710,0.55888710,-0.13351882,
-60.17190000,-60.64718710,0.47528710,0.27294517,
-60.25780000,-60.64718710,0.38938710,0.48690445,
-60.29600000,-60.64718710,0.35118710,0.51632962,
-60.35730000,-60.64718710,0.28988710,0.45134035,
-60.46650000,-60.66703871,0.20053871,0.35804622,
-60.45180000,-60.68754839,0.23574839,0.27420897,
-60.48560000,-60.65698387,0.17138387,0.22064815,
-60.29220000,-60.61843226,0.32623226,0.20639024,
-60.07240000,-60.59816774,0.52576774,0.25878761,
-60.07660000,-60.58087742,0.50427742,0.36692992,
-60.42710000,-60.56617419,0.13907419,0.42287386,
-60.55070000,-60.55502581,0.00432581,0.34215866,
-60.67660000,-60.55569677,-0.12090323,0.17153527,
-60.66130000,-60.56016129,-0.10113871,0.00732845,
-60.64230000,-60.59462581,-0.04767419,-0.08714705,
-60.67800000,-60.62210968,-0.05589032,-0.10610082,
-60.65820000,-60.64912258,-0.00907742,-0.08424803,
-60.59350000,-60.67231290,0.07881290,-0.04038751,
-60.43030000,-60.69573548,0.26543548,0.03567094,
-60.56430000,-60.71209032,0.14779032,0.12600216,
-60.55870000,-60.72475161,0.16605161,0.17829081,
-60.62840000,-60.73154516,0.10314516,0.18044407,
-60.58860000,-60.74018710,0.15158710,0.15965783,
-60.83970000,-60.75484516,-0.08485484,0.11879613,
-60.81020000,-60.77952903,-0.03067097,0.04926159,
-61.06150000,-60.80320645,-0.25829355,-0.03760296,
-61.12490000,-60.81696452,-0.30793548,-0.14105485,
-61.37030000,-60.82598065,-0.54431935,-0.26587743,
-61.29020000,-60.83362903,-0.45657097,-0.39033873,
-61.26220000,-60.84535484,-0.41684516,-0.46299250,
-60.94030000,-60.86135806,-0.07894194,-0.43323739,
-61.00930000,-60.87537742,-0.13392258,-0.31289927,
-60.97670000,-60.89489032,-0.08180968,-0.18621457,
-61.02210000,-60.91593226,-0.10616774,-0.10981129,
-60.86430000,-60.94938387,0.08508387,-0.06108240,
-60.85900000,-60.96991290,0.11091290,-0.00045900,
-60.66240000,-60.98846452,0.32606452,0.08724208,
-60.75350000,-61.00470645,0.25120645,0.18667033,
-60.74660000,-61.01979355,0.27319355,0.25609624,
-60.83760000,-61.02314516,0.18554516,0.27321884,
-60.81060000,-61.02822581,0.21762581,0.25349737,
-60.85360000,-61.02263548,0.16903548,0.22305352,
-60.83020000,-61.01865806,0.18845806,0.19752700,
-60.91370000,-61.00543548,0.09173548,0.17305706,
-61.02480000,-60.98136774,-0.04343226,0.12599968,
-61.13840000,-60.96440968,-0.17399032,0.03836406,
-61.11260000,-60.95794194,-0.15465806,-0.06475784,
-61.26310000,-60.94987097,-0.31322903,-0.15512593,
-61.24580000,-60.94538710,-0.30041290,-0.23323287,
-61.46730000,-60.94023226,-0.52706774,-0.31264087,
-61.20070000,-60.93850000,-0.26220000,-0.37705337,
-61.13380000,-60.94259032,-0.19120968,-0.36829284,
-61.13190000,-60.95274516,-0.17915484,-0.29514233,
-61.05630000,-60.96143871,-0.09486129,-0.21423981,
-60.94360000,-60.97311613,0.02951613,-0.13294207,
-60.96770000,-60.98263226,0.01493226,-0.05225086,
-60.88820000,-60.99210645,0.10390645,0.01322294,
-61.00160000,-60.99776774,-0.00383226,0.05159381,
-60.96040000,-61.00205806,0.04165806,0.05610350,
-60.54410000,-60.98242258,0.43832258,0.08932395,
-60.73650000,-60.95887419,0.22237419,0.18461324,
-60.73980000,-60.93384516,0.19404516,0.25098112,
-60.75910000,-60.91133548,0.15223548,0.24546536,
-60.83770000,-60.89016774,0.05246774,0.19702206,
-60.86230000,-60.86972581,0.00742581,0.12518196,
