luma_mean,luma_mean>rolling_average,luma_mean>rolling_average>subtract,luma_mean>rolling_average>subtract>butter_lowpass_filter,luma_mean>rolling_average>subtract>butter_lowpass_filter>cut_start
-62.80450000,-62.86749032,0.06299032,0.00683114,
-62.80400000,-62.86749032,0.06349032,0.02654040,
-62.79760000,-62.86749032,0.06989032,0.04933951,
-62.78610000,-62.86749032,0.08139032,0.06589922,
-62.80800000,-62.86749032,0.05949032,0.07414803,
-62.70020000,-62.86749032,0.16729032,0.08442118,
-62.73050000,-62.86749032,0.13699032,0.10858794,
-62.66940000,-62.86749032,0.19809032,0.13833802,
-62.61350000,-62.86749032,0.25399032,0.17294810,
-62.69720000,-62.86749032,0.17029032,0.20372995,
-62.71310000,-62.86749032,0.15439032,0.20615193,
-62.54930000,-62.86749032,0.31819032,0.20393966,
-62.45480000,-62.86749032,0.41269032,0.24529687,
-62.51730000,-62.86749032,0.35019032,0.31374878,
-62.51160000,-62.86749032,0.35589032,0.35824554,
-62.41370000,-62.86749032,0.45379032,0.38106390,
-62.24980000,-62.86880645,0.61900645,0.42701003,
-62.28760000,-62.87584194,0.58824194,0.50333453,
-62.36970000,-62.87876129,0.50906129,0.55865742,
-62.73250000,-62.87916129,0.14666129,0.52363747,
-63.03050000,-62.87843871,-0.15206129,0.35612140,
-63.91990000,-62.87741613,-1.04248387,0.01940099,
-64.06560000,-62.85620323,-1.20939677,-0.46751139,
-63.46590000,-62.83604194,-0.62985806,-0.85984206,
-63.46010000,-62.82270968,-0.63739032,-0.94578223,
-63.42760000,-62.81302903,-0.61457097,-0.83544601,
-62.93050000,-62.80262258,-0.12787742,-0.65500548,
-62.83230000,-62.81425484,-0.01804516,-0.41108447,
-63.35480000,-62.82855806,-0.52624194,-0.23173755,
-63.35140000,-62.83066452,-0.52073548,-0.24799301,
-62.84320000,-62.84256774,-0.00063226,-0.31555563,
-62.84530000,-62.86259032,0.01729032,-0.25442136,
-63.02210000,-62.87962258,-0.14247742,-0.13680922,
-62.88810000,-62.89416774,0.00606774,-0.06924781,
-62.79850000,-62.90850000,0.11000000,-0.02039917,
-62.78560000,-62.91066129,0.12506129,0.04172370,
-62.66850000,-62.89642903,0.22792903,0.10672104,
-62.07290000,-62.85812903,0.78522903,0.22879994,
-62.04440000,-62.81676129,0.77236129,0.44631386,
-62.20020000,-62.78659032,0.58639032,0.63663726,
-62.39710000,-62.73729032,0.34019032,0.66751104,
-62.39050000,-62.68385484,0.29335484,0.55674685,
-62.90990000,-62.64888710,-0.26101290,0.35299517,
-62.89820000,-62.62198065,-0.27621935,0.08173634,
-62.58260000,-62.60673226,0.02413226,-0.12369758,
-62.88060000,-62.60609355,-0.27450645,-0.18843184,
-63.03440000,-62.61480968,-0.41959032,-0.22925375,
-62.77780000,-62.61742903,-0.16037097,-0.28067224,
-62.73850000,-62.61642903,-0.12207097,-0.26843917,
-62.81400000,-62.61788065,-0.19611935,-0.21332482,
-62.79950000,-62.62281613,-0.17668387,-0.17857928,
-62.58930000,-62.63136129,0.04206129,-0.14533449,
-62.73260000,-62.64400000,-0.08860000,-0.09159522,
-62.78320000,-62.67291613,-0.11028387,-0.06176144,
-62.53060000,-62.70931613,0.17871613,-0.03983700,
-61.93180000,-62.74129355,0.80949355,0.09885382,
-61.77110000,-62.76655484,0.99545484,0.40202410,
-61.84650000,-62.78970323,0.94320323,0.72791896,
-61.99820000,-62.79666452,0.79846452,0.91265006,
-62.88210000,-62.79666452,-0.08543548,0.84041992,
-63.33160000,-62.77627742,-0.55532258,0.46122403,
-63.11340000,-62.75215161,-0.36124839,-0.02569139,
-62.92650000,-62.73585484,-0.19064516,-0.32525805,
-62.99110000,-62.72763548,-0.26346452,-0.38644623,
-62.93310000,-62.73100645,-0.20209355,-0.33757865,
-62.95150000,-62.74585806,-0.20564194,-0.27064617,
-63.05050000,-62.75871613,-0.29178387,-0.23058501,
-63.06030000,-62.77917419,-0.28112581,-0.23417330,
-62.96930000,-62.80085806,-0.16844194,-0.24459255,
-63.17280000,-62.82036129,-0.35243871,-0.24697447,
-63.19150000,-62.84261935,-0.34888065,-0.27312485,
-63.18020000,-62.88052581,-0.29967419,-0.30917084,
-63.10810000,-62.92210000,-0.18600000,-0.30927241,
-63.12570000,-62.94524194,-0.18045806,-0.26755636,
-62.89820000,-62.96560645,0.06740645,-0.19051854,
-61.95060000,-62.96529032,1.01469032,0.02118033,
-62.13270000,-62.95207097,0.81937097,0.39409353,
-62.52920000,-62.94774516,0.41854516,0.67228640,
-62.52300000,-62.94545806,0.42245806,0.69264371,
-62.84300000,-62.93909677,0.09609677,0.54595491,
-63.27440000,-62.91745806,-0.35694194,0.29144414,
-63.19810000,-62.90204194,-0.29605806,-0.01325373,
-63.22350000,-62.88358710,-0.33991290,-0.24206943,
-63.40480000,-62.85721290,-0.54758710,-0.37345422,
-63.38780000,-62.85176452,-0.53603548,-0.46608540,
-63.22060000,-62.85713226,-0.36346774,-0.50778114,
-63.10690000,-62.84278065,-0.26411935,-0.46608981,
-63.05990000,-62.81953871,-0.24036129,-0.37370615,
-62.56390000,-62.82048065,0.25658065,-0.23581004,
-62.62950000,-62.81591935,0.18641935,-0.04082288,
-62.87230000,-62.80403548,-0.06826452,0.09839425,0.09839425
-62.92180000,-62.82970968,-0.09209032,0.09444029,0.09444029
-62.97930000,-62.85191935,-0.12738065,0.01105200,0.01105200
-62.85560000,-62.85386452,-0.00173548,-0.05748441,-0.05748441
-62.79390000,-62.86115484,0.06725484,-0.06076414,-0.06076414
-62.26230000,-62.85852258,0.59622258,0.04363237,0.04363237
-62.47360000,-62.83441935,0.36081935,0.23291988,0.23291988
-62.47840000,-62.81317097,0.33477097,0.36998521,0.36998521
-62.24270000,-62.79021935,0.54751935,0.42324212,0.42324212
-62.80040000,-62.74496774,-0.05543226,0.40525785,0.40525785
-63.33920000,-62.70296452,-0.63623548,0.20222294,0.20222294
-62.74660000,-62.68485806,-0.06174194,-0.09935887,-0.09935887
-62.45970000,-62.66850323,0.20880323,-0.20981361,-0.20981361
-63.13730000,-62.65257097,-0.48472903,-0.16713174,-0.16713174
-62.98430000,-62.66589355,-0.31840645,-0.19837649,-0.19837649
-62.52980000,-62.68017742,0.15037742,-0.22736211,-0.22736211
-62.74650000,-62.68153226,-0.06496774,-0.14671089,-0.14671089
-62.82120000,-62.69233548,-0.12886452,-0.06973996,-0.06973996
-62.58950000,-62.70229677,0.11279677,-0.03830799,-0.03830799
-62.74900000,-62.71150323,-0.03749677,-0.00548955,-0.00548955
-62.76140000,-62.72195161,-0.03944839,0.00692186,0.00692186
-62.52720000,-62.74870645,0.22150645,0.01917916,0.01917916
-62.53940000,-62.76036774,0.22096774,0.08240112,0.08240112
-62.51200000,-62.78368387,0.27168387,0.16773420,0.16773420
-62.00200000,-62.81597419,0.81397419,0.29268021,0.29268021
-62.08570000,-62.82010968,0.73440968,0.49023939,0.49023939
-62.65930000,-62.80420323,0.14490323,0.60230890,0.60230890
-62.59990000,-62.81011613,0.21021613,0.50976487,0.50976487
-62.56600000,-62.82386129,0.25786129,0.34912089,0.34912089
-62.97690000,-62.81057742,-0.16632258,0.20839478,0.20839478
-63.07230000,-62.81047419,-0.26182581,0.03771649,0.03771649
-62.91430000,-62.82627742,-0.08802258,-0.11610755,-0.11610755
-63.25670000,-62.83375806,-0.42294194,-0.20694281,-0.20694281
-63.28810000,-62.83931935,-0.44878065,-0.29537726,-0.29537726
-63.14100000,-62.85202258,-0.28897742,-0.36929814,-0.36929814
-63.11780000,-62.85297419,-0.26482581,-0.37216076,-0.37216076
-63.09170000,-62.86200000,-0.22970000,-0.32530028,-0.32530028
-62.83510000,-62.87595484,0.04085484,-0.24372175,-0.24372175
-63.20120000,-62.88258387,-0.31861613,-0.16322417,-0.16322417
-63.24370000,-62.89386452,-0.34983548,-0.16999396,-0.16999396
-62.92860000,-62.92148387,-0.00711613,-0.20956049,-0.20956049
-62.84610000,-62.93566452,0.08956452,-0.16073205,-0.16073205
-62.92990000,-62.93304194,0.00314194,-0.05682444,-0.05682444
-62.88580000,-62.93314516,0.04734516,0.01567593,0.01567593
-62.72550000,-62.93069032,0.20519032,0.06428989,0.06428989
-62.98110000,-62.91220000,-0.06890000,0.09369063,0.09369063
-63.01970000,-62.88709677,-0.13260323,0.05512183,0.05512183
-62.97840000,-62.86957097,-0.10882903,-0.02882190,-0.02882190
-62.99360000,-62.84208710,-0.15151290,-0.09684695,-0.09684695
-62.98330000,-62.81414516,-0.16915484,-0.13900465,-0.13900465
-62.77850000,-62.78759677,0.00909677,-0.14395293,-0.14395293
-63.04120000,-62.77173548,-0.26946452,-0.12864094,-0.12864094
-62.95980000,-62.75832903,-0.20147097,-0.14738283,-0.14738283
-62.74490000,-62.75159677,0.00669677,-0.16147403,-0.16147403
-62.86170000,-62.73580000,-0.12590000,-0.12986152,-0.12986152
-62.85820000,-62.72212581,-0.13607419,-0.10503323,-0.10503323
-62.52530000,-62.71665484,0.19135484,-0.07416318,-0.07416318
-62.57800000,-62.71459032,0.13659032,0.00917035,0.00917035
-62.60310000,-62.71281613,0.10971613,0.09339023,0.09339023
-62.48990000,-62.71435806,0.22445806,0.14202761,0.14202761
-62.40370000,-62.71876129,0.31506129,0.19029648,0.19029648
-62.29410000,-62.71627097,0.42217097,0.26122279,0.26122279
-62.37100000,-62.71070323,0.33970323,0.33254364,0.33254364
-62.40470000,-62.69703548,0.29233548,0.36164099,0.36164099
-62.42190000,-62.67995806,0.25805806,0.34204762,0.34204762
-62.31800000,-62.66447419,0.34647419,0.31282489,0.31282489
-62.62610000,-62.65264194,0.02654194,0.27404724,0.27404724
-62.67610000,-62.64661613,-0.02948387,0.18323976,0.18323976
-62.62640000,-62.64366452,0.01726452,0.07386142,0.07386142
-62.71150000,-62.63915806,-0.07234194,0.00049966,0.00049966
-62.81980000,-62.62889677,-0.19090323,-0.05705829,-0.05705829
-62.75900000,-62.62232903,-0.13667097,-0.11428384,-0.11428384
-62.78210000,-62.62171935,-0.16038065,-0.15024835,-0.15024835
-62.87490000,-62.61968387,-0.25521613,-0.17354418,-0.17354418
-62.93360000,-62.62000968,-0.31359032,-0.21226491,-0.21226491
-62.86200000,-62.62353548,-0.23846452,-0.25378559,-0.25378559
-62.90390000,-62.63201613,-0.27188387,-0.27182635,-0.27182635
-62.84710000,-62.64707742,-0.20002258,-0.26604565,-0.26604565
-62.55470000,-62.65844194,0.10374194,-0.21045806,-0.21045806
-62.46420000,-62.66690968,0.20270968,-0.07907991,-0.07907991
-62.50330000,-62.67301613,0.16971613,0.06971320,0.06971320
-62.41170000,-62.68068387,0.26898387,0.17372049,0.17372049
-62.85440000,-62.66640323,-0.18799677,0.18707360,0.18707360
-62.86830000,-62.65975484,-0.20854516,0.07585550,0.07585550
-62.60520000,-62.65461935,0.04941935,-0.05190613,-0.05190613
-62.54360000,-62.64691613,0.10331613,-0.06982438,-0.06982438
-62.65460000,-62.63686129,-0.01773871,-0.01926451,-0.01926451
-62.50640000,-62.62961613,0.12321613,0.02553882,0.02553882
-62.51490000,-62.61393226,0.09903226,0.06393790,0.06393790
-62.61320000,-62.60675161,-0.00644839,0.08228948,0.08228948
-62.59920000,-62.59810645,-0.00109355,0.06152418,0.06152418
-62.66660000,-62.58686452,-0.07973548,0.01879275,0.01879275
-62.76100000,-62.57434516,-0.18665484,-0.04030646,-0.04030646
-62.72330000,-62.56901613,-0.15428387,-0.10706863,-0.10706863
-62.66720000,-62.57189677,-0.09530323,-0.14543143,-0.14543143
-62.61120000,-62.57799677,-0.03320323,-0.13528119,-0.13528119
-62.55570000,-62.58399032,0.02829032,-0.08790925,-0.08790925
-62.18340000,-62.59326129,0.40986129,0.01194405,0.01194405
-62.47000000,-62.58208710,0.11208710,0.14194363,0.14194363
-62.46720000,-62.57341290,0.10621290,0.20108570,0.20108570
-62.47270000,-62.57301290,0.10031290,0.17832481,0.17832481
-62.50810000,-62.57538065,0.06728065,0.13446161,0.13446161
-62.53440000,-62.57182258,0.03742258,0.09201932,0.09201932
-62.29590000,-62.57437097,0.27847097,0.08451281,0.08451281
-62.65230000,-62.57390323,-0.07839677,0.10147242,0.10147242
-62.66560000,-62.57000323,-0.09559677,0.06555857,0.06555857
-62.51350000,-62.56865484,0.05515484,0.00269358,0.00269358
-62.51580000,-62.56411290,0.04831290,-0.01119469,-0.01119469
-62.68190000,-62.55557097,-0.12632903,-0.00789848,-0.00789848
-62.64400000,-62.55125806,-0.09274194,-0.03566521,-0.03566521
-62.65330000,-62.54800000,-0.10530000,-0.07406597,-0.07406597
-62.68910000,-62.54518710,-0.14391290,-0.10238550,-0.10238550
-62.69910000,-62.55023871,-0.14886129,-0.12555792,-0.12555792
-62.50800000,-62.56755806,0.05955806,-0.11973552,-0.11973552
-62.59940000,-62.57560000,-0.02380000,-0.07179119,-0.07179119
-62.59280000,-62.58302258,-0.00977742,-0.02549884,-0.02549884
-62.61700000,-62.57579032,-0.04120968,-0.00920880,-0.00920880
-62.54430000,-62.57166774,0.02736774,-0.00717747,-0.00717747
-62.58540000,-62.56778710,-0.01761290,-0.00387533,-0.00387533
-62.50040000,-62.57096452,0.07056452,0.00563327,0.00563327
-62.49230000,-62.55949677,0.06719677,0.02682969,0.02682969
-62.55740000,-62.55135161,-0.00604839,0.04335586,0.04335586
-62.52580000,-62.54690968,0.02110968,0.03795391,0.03795391
-62.49620000,-62.54264839,0.04644839,0.02876942,0.02876942
-62.58960000,-62.53315806,-0.05644194,0.01967533,0.01967533
-62.56620000,-62.52792903,-0.03827097,-0.00304358,-0.00304358
