luma_mean,luma_mean>rolling_average,luma_mean>rolling_average>subtract,luma_mean>rolling_average>subtract>butter_lowpass_filter,luma_mean>rolling_average>subtract>butter_lowpass_filter>cut_start
-59.47660000,-58.70447742,-0.77212258,-0.08373472,
-59.20740000,-58.70447742,-0.50292258,-0.29546811,
-59.18470000,-58.70447742,-0.48022258,-0.47805390,
-58.97940000,-58.70447742,-0.27492258,-0.51598735,
-58.90430000,-58.70447742,-0.19982258,-0.43733538,
-58.81780000,-58.70447742,-0.11332258,-0.30860294,
-58.77420000,-58.70447742,-0.06972258,-0.18850116,
-58.70260000,-58.70447742,0.00187742,-0.09658079,
-58.69590000,-58.70447742,0.00857742,-0.03231608,
-58.69970000,-58.70447742,0.00477742,0.00427461,
-58.68850000,-58.70447742,0.01597742,0.01750135,
-58.61810000,-58.70447742,0.08637742,0.02737469,
-58.69010000,-58.70447742,0.01437742,0.04059776,
-58.69350000,-58.70447742,0.01097742,0.04077631,
-58.70750000,-58.70447742,-0.00302258,0.02675586,
-58.63670000,-58.70447742,0.06777742,0.01867341,
-58.62610000,-58.67326774,0.04716774,0.02754695,
-58.62890000,-58.65258065,0.02368065,0.03850641,
-58.56130000,-58.63094194,0.06964194,0.04301570,
-58.47630000,-58.61662581,0.14032581,0.05864965,
-58.39910000,-58.60266452,0.20356452,0.09813562,
-58.33140000,-58.59276452,0.26136452,0.15556231,
-58.30590000,-58.58367419,0.27777419,0.21483271,
-58.34360000,-58.57742258,0.23382258,0.25402673,
-58.44960000,-58.57000323,0.12040323,0.24992048,
-58.67790000,-58.56334516,-0.11455484,0.17927937,
-58.72450000,-58.55630000,-0.16820000,0.04950637,
-58.73260000,-58.55171935,-0.18088065,-0.08085717,
-58.74890000,-58.54293226,-0.20596774,-0.16614271,
-58.71470000,-58.53519355,-0.17950645,-0.20435706,
-58.64100000,-58.52272903,-0.11827097,-0.20169292,
-58.50910000,-58.51362258,0.00452258,-0.15800081,
-58.56610000,-58.50195484,-0.06414516,-0.09467243,
-58.51390000,-58.49575806,-0.01814194,-0.04929529,
-58.53560000,-58.49332581,-0.04227419,-0.02927227,
-58.47150000,-58.49916129,0.02766129,-0.01848259,
-58.51090000,-58.50640968,-0.00449032,-0.00618069,
-58.49240000,-58.51788710,0.02548710,0.00511694,
-58.50880000,-58.52902258,0.02022258,0.01364565,
