,Prediction,Test Data
0,16.86662321923339,16.8
1,16.251614227972436,16.2
2,12.079192585272924,12.0
3,10.928543737672962,10.9
4,13.090318006890815,13.1
5,16.5127303111211,16.7
6,15.973371372707703,15.9
7,11.000044997877321,11.0
8,16.40285888060187,16.4
9,12.001705489093093,12.0
10,16.364354985689438,16.2
11,16.607721961649123,15.9
12,16.81469935766902,16.8
13,17.01453586865887,17.0
14,14.532752131802454,14.5
15,14.903402307169783,14.8
16,16.785991836978585,16.8
17,16.99042013653704,17.0
18,16.720617486736305,16.7
19,15.61708620311836,15.6
20,15.832371420571842,15.8
21,16.78980476301719,16.8
22,12.013194144880316,12.0
23,11.007416604755033,11.0
24,11.007416604755033,11.0
25,16.787469254836644,16.8
26,16.66404449041786,16.7
27,15.788264680920042,15.8
28,14.89429628733816,14.8
29,14.852140745777232,14.8
30,13.094295908968718,13.1
31,16.536133910744113,16.7
32,16.169527494523614,16.2
33,11.977649799658264,12.0
34,10.968072690942302,11.0
35,16.592336223447067,16.7
36,12.009014623291145,12.0
37,12.015702430831215,12.0
38,16.976733218498307,17.0
39,11.96359146861636,12.0
40,16.65951552463811,16.7
41,16.312961371122682,16.3
42,16.21399687201675,16.2
43,16.61632777050943,16.7
44,13.070584539960528,13.1
45,15.805420021926418,15.8
46,11.961756437695541,12.0
47,16.6953713778317,16.7
48,16.809690622718957,16.8
49,15.528928445641483,15.6
50,13.076840044428799,13.1
51,15.740462365746716,15.8
52,13.068668803637308,13.1
53,16.719212491193495,16.8
54,11.010677998764569,11.0
55,16.31013585127204,16.3
56,16.385735671941244,16.4
57,16.429096635984187,16.3
58,16.739859323861175,16.8
59,16.148665501541807,16.2
60,16.2503814044352,16.3
61,11.988874830303393,12.0
62,14.820353506193944,14.8
63,15.834364764591959,15.9
64,16.79049665058411,16.8
65,11.985730237624674,12.0
66,16.66241557851139,16.7
67,16.715063506432333,16.8
68,16.246456566446607,16.2
69,13.083610996621614,13.1
70,16.79448822542939,16.8
71,16.31018692272303,16.3
72,11.974676758784483,12.0
73,16.427885632456096,16.4
74,16.315471786054477,16.3
75,11.99372603871235,12.0
76,11.965452132671887,12.0
77,16.8628359021216,17.0
78,14.786151348125559,14.8
79,16.257739073485393,16.4
80,15.591126035755682,15.6
81,11.979563567280888,12.0
82,15.873651971869053,15.9
83,11.972619079291666,12.0
84,12.022234403756478,12.0
85,16.329803205959582,16.2
86,13.111437845452686,13.1
87,14.913982031740904,14.8
88,17.034146075689947,17.0
89,16.979094511463035,17.0
90,16.661386822315905,16.7
91,16.299160645688943,16.4
92,15.816544948916707,15.8
93,16.235635299889132,16.3
94,16.280315998706232,16.4
95,14.50365729688906,14.5
96,11.002478046719295,11.0
97,15.586156618574224,15.6
98,11.013152077915485,11.0
99,15.788612971801557,15.8
100,16.21768148345271,16.2
101,10.991817152690246,11.0
102,15.988688994891907,15.9
103,15.900637099469712,15.9
104,11.988141336095698,12.0
105,16.426197011769,16.4
106,16.388039227981185,16.4
107,16.708034636355304,16.7
108,12.005669088599772,12.0
109,16.24114582989704,16.2
110,15.903917585834982,15.9
111,10.92508488003382,10.9
112,16.99438804681567,17.0
113,12.143799871088202,12.0
114,13.144151484428898,13.1
115,13.242256416781157,13.1
116,16.279268410047244,16.3
117,10.924827621887891,10.9
118,15.60288680141882,15.6
119,12.02064111174873,12.0
120,16.249662428137313,16.2
121,16.4895104062257,16.7
122,16.415879991346063,16.4
123,15.816537997188737,15.8
124,16.99847324408281,17.0
125,10.935698253890692,10.9
126,15.584773248419566,15.6
127,16.706749542314004,16.7
128,15.953946947515352,15.9
129,15.908684228640736,15.9
130,15.588864111461506,15.6
131,16.394995442491425,15.9
132,16.30687460508501,16.2
133,13.079545925655477,13.1
134,12.018315818090883,12.0
135,11.008803765603043,11.0
136,15.906840092364245,15.9
137,11.9977386619741,12.0
138,16.39747325279071,16.4
139,11.998873197408717,12.0
140,16.68617256867852,16.7
141,10.922208075004123,10.9
142,11.960310065836676,12.0
143,12.04281759184151,12.0
144,13.093727662903971,13.1
145,15.911237407832825,15.9
146,16.276880224722643,16.3
147,16.38431544673665,16.4
148,14.80302189525242,14.8
149,15.79220641302637,15.8
150,16.833030068090096,16.8
151,16.70467997950635,16.7
152,12.066867298361162,12.0
153,15.985755889396414,15.9
154,16.697151558738494,16.7
155,15.78124182661278,15.8
156,16.252928365088497,16.2
157,11.984104251293962,12.0
158,12.089250303693328,12.0
159,16.494389746960508,16.2
160,16.778220995871028,16.8
161,16.146110096021822,16.2
162,15.904406191100417,15.9
163,16.641757510152992,16.7
164,15.720254205257458,15.9
165,16.62878123953403,16.7
166,14.511563788186454,14.5
167,16.148527622502748,15.9
168,15.601427931921775,15.6
169,16.667146928154935,16.7
170,14.761604285445662,14.8
171,16.542964191500854,15.9
172,16.807971841760793,16.8
173,16.30237140592926,16.3
174,16.207847012392453,16.2
175,15.75838479765827,15.8
176,16.84353217807897,17.0
177,11.966181628375857,12.0
178,16.55018697577856,16.7
179,16.330675988177344,16.3
180,16.648373188931394,16.7
181,11.988708127047904,12.0
182,11.003003462374174,11.0
183,14.511978574152954,14.5
184,16.720613967063425,16.7
185,15.613746833871998,15.6
186,16.98808757496868,17.0
187,11.949104910110222,12.0
188,11.929380576692033,12.0
189,16.20320989047538,16.2
190,16.09717794655079,15.9
191,14.807133157008153,14.8
192,16.125504448643103,16.2
193,16.680023107710944,16.7
194,15.916450480299696,15.9
195,16.161047820458037,15.9
196,12.077895638598307,12.0
197,14.792241402762027,14.8
198,10.842985471337785,10.9
199,16.27553664598265,16.2
200,11.008517984937642,11.0
201,15.886281310974583,15.9
202,11.011162097972488,11.0
203,14.48523813566325,14.5
204,11.90688138580572,12.0
205,14.805484354549414,14.8
206,16.607068054262545,16.7
207,16.23739943788833,16.3
208,11.006843559450449,11.0
209,16.982130449607165,17.0
210,15.689615190420266,15.8
211,14.803521721644136,14.8
212,16.964548548359005,17.0
213,13.103901262550322,13.1
214,16.80738514116626,16.8
215,16.20272227459181,16.2
216,11.935709905122929,12.0
217,10.905931945110678,10.9
218,16.62976639694712,16.7
219,15.583016079911628,15.6
220,16.04738872461958,15.9
221,16.340755077026728,16.2
222,14.528405627019195,14.5
223,16.638583178757578,16.7
224,11.994776286969891,12.0
225,16.143785980709428,16.2
226,15.805647664676256,15.8
227,16.383891403586478,16.4
228,16.48257651308,16.7
229,15.578820586749215,15.6
230,16.39847118323658,16.4
231,17.069129539864356,17.0
232,16.46989581725498,16.4
233,16.984622326452676,17.0
234,14.841331710530486,14.8
235,16.23217596063452,16.2
236,14.50352356525818,14.5
237,14.791026903253298,14.8
238,16.405812475988412,16.4
239,16.2205561103373,16.2
240,16.817097469296172,16.8
241,16.720418621082366,16.7
242,16.884366301252513,17.0
243,12.018596673044144,12.0
244,16.433495956472157,16.4
245,16.334476580511733,16.3
246,14.519812507872599,14.5
247,11.997727027208407,12.0
248,16.643474475046332,16.7
249,16.206873093544495,16.2
250,16.444889213780005,16.2
251,14.49900979385511,14.5
252,15.769158815110863,15.8
253,16.453835297159088,16.2
254,16.748848069129156,16.8
255,12.99424625804231,13.1
256,11.013247856370898,11.0
257,15.590162229818079,15.6
258,15.592380363304999,15.6
259,16.315578697635992,16.3
260,16.3028593361585,16.3
261,16.593586147278153,16.7
262,13.186891220017122,13.1
263,11.006533985311565,11.0
264,16.08702721773114,15.9
265,16.20523038235879,16.2
266,10.897189539101838,10.9
267,16.285448287321735,16.3
268,16.234615152569564,16.2
269,14.774603848573921,14.8
270,16.22731230123261,16.2
271,15.730729208021765,15.9
272,14.782546647844518,14.8
273,11.994546190489345,12.0
274,12.98365470261778,13.1
275,16.184972324905583,16.2
276,15.556993882125536,15.6
277,16.668526274546615,16.7
278,15.576013476477613,15.6
279,15.610589049228452,15.6
280,10.973618815944738,10.9
281,12.001527062082536,12.0
282,16.168294046369333,16.4
